입국자국가,국가코드,입국연월,입국자 수
일본,130,201101,196301
일본,130,201102,221318
일본,130,201103,268355
일본,130,201104,220142
일본,130,201105,234626
일본,130,201106,254872
일본,130,201107,275317
일본,130,201108,325927
일본,130,201109,321231
일본,130,201110,340172
일본,130,201111,331721
일본,130,201112,299069
일본,130,201201,244370
일본,130,201202,294317
일본,130,201203,360719
일본,130,201204,298656
일본,130,201205,316598
일본,130,201206,302383
일본,130,201207,299477
일본,130,201208,346950
일본,130,201209,308882
일본,130,201210,269732
일본,130,201211,249481
일본,130,201212,227227
일본,130,201301,206474
일본,130,201302,217153
일본,130,201303,288900
일본,130,201304,202529
일본,130,201305,222936
일본,130,201306,201163
일본,130,201307,208219
일본,130,201308,270582
일본,130,201309,246926
일본,130,201310,245021
일본,130,201311,222797
일본,130,201312,215050
일본,130,201401,172077
일본,130,201402,189722
일본,130,201403,247262
일본,130,201404,179593
일본,130,201405,201489
일본,130,201406,173056
일본,130,201407,172427
일본,130,201408,208147
일본,130,201409,196306
일본,130,201410,190335
일본,130,201411,179533
일본,130,201412,170487
일본,130,201501,139632
일본,130,201502,142587
일본,130,201503,218932
일본,130,201504,154402
일본,130,201505,188420
일본,130,201506,101206
일본,130,201507,81748
일본,130,201508,148632
일본,130,201509,157313
일본,130,201510,180348
일본,130,201511,164685
일본,130,201512,159877
